latitude,longitude,elevation
41.33645,-124.030669,15.4
41.336391,-124.030665,15.2
41.336332,-124.030659,15.2
41.336274,-124.030657,15.2
41.336215,-124.03066,15.2
41.336151,-124.030667,15.2
41.336086,-124.030674,15.2
41.336022,-124.030677,15.2
41.335957,-124.030681,15.0
41.335892,-124.030687,15.0
41.335825,-124.030692,15.0
41.335757,-124.030698,15.0
41.335689,-124.030706,15.0
41.335624,-124.030715,15.0
41.335542,-124.03072,15.0
41.335475,-124.030724,15.2
41.335407,-124.030733,15.2
41.33534,-124.030747,15.2
41.335277,-124.030764,15.2
41.335215,-124.03078,15.4
41.335152,-124.030796,15.4
41.335089,-124.030812,15.4
41.33503,-124.030828,15.4
41.334971,-124.030844,15.4
41.334911,-124.030858,15.4
41.334854,-124.030881,15.6
41.334798,-124.030906,15.6
41.334743,-124.030928,15.8
41.334689,-124.030947,16.0
41.334633,-124.030963,16.0
41.334577,-124.030979,16.2
41.334522,-124.030995,16.2
41.334468,-124.031012,16.4
41.334415,-124.031029,16.6
41.334362,-124.031044,16.6
41.334305,-124.031059,16.6
41.334246,-124.031074,16.6
41.334184,-124.031093,16.6
41.334121,-124.031113,16.8
41.334052,-124.031132,16.8
41.333986,-124.031151,16.8
41.333928,-124.031171,16.6
41.33387,-124.03119,16.6
41.333811,-124.031208,16.6
41.333748,-124.031225,16.6
41.333684,-124.031239,16.6
41.333624,-124.031248,16.8
41.333563,-124.031252,16.8
41.333502,-124.031253,16.8
41.333443,-124.031252,16.8
41.333385,-124.031246,16.8
41.333326,-124.031237,16.8
41.333267,-124.031221,16.8
41.333209,-124.031202,16.8
41.333152,-124.03118,16.8
41.333094,-124.031151,16.6
41.333033,-124.03112,16.6
41.332973,-124.031083,16.4
41.332911,-124.031044,16.4
41.33285,-124.031003,16.2
41.332792,-124.030955,16.0
41.332734,-124.030906,16.0
41.33268,-124.030856,15.8
41.332636,-124.030808,15.6
41.332586,-124.030752,15.4
41.332534,-124.030702,15.4
41.332479,-124.03066,15.4
41.332423,-124.030619,15.2
41.332369,-124.030581,15.2
41.332314,-124.030542,15.2
41.332253,-124.030503,15.2
41.332193,-124.030465,15.2
41.332134,-124.030431,15.2
41.332076,-124.0304,15.2
41.332017,-124.030371,15.2
41.331958,-124.030343,15.2
41.331901,-124.030322,15.4
41.331841,-124.030305,15.4
41.331783,-124.030288,15.4
41.331731,-124.030277,15.4
41.331684,-124.03027,15.4
41.331631,-124.030267,15.4
41.331573,-124.030261,15.4
41.331514,-124.030253,15.4
41.331456,-124.030244,15.6
41.331392,-124.03023,15.6
41.331329,-124.030218,15.6
41.331265,-124.030209,15.6
41.331205,-124.030204,15.6
41.331146,-124.030198,15.6
41.331086,-124.030189,15.8
41.331026,-124.030179,15.8
41.330966,-124.030167,15.6
41.330906,-124.030155,15.6
41.330845,-124.030143,15.8
41.330784,-124.030134,15.8
